#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
GS|PIO2|47.602299|-122.334999|7.0|Seattle urban array|2002-12-10T00:00:00|2599-12-31T23:59:59
GS|RAI|47.575|-122.2948|17.0|Seattle urban array|2003-07-29T00:00:00|2018-04-26T23:59:59
GS|RBOK|45.5406|-122.5653|156.0|Portland urban array|2005-09-11T00:00:00|2017-10-03T23:59:59
GS|RDM2|47.671822|-122.128288|13.0|Seattle urban array|2013-05-01T00:00:00|2599-12-31T23:59:59
GS|SAIL|45.5371|-122.9628|63.0|Portland urban array|2006-05-11T00:00:00|2017-10-02T23:59:59
GS|SEW|47.5497|-122.2504|11.0|Seward Park, Seattle, WA|2000-09-22T00:00:00|2599-12-31T23:59:59
GS|SOC3|47.561001|-122.338203|5.0|Seattle urban array|2003-07-29T00:00:00|2599-12-31T23:59:59
GS|TFD|47.253399|-122.399002|4.0|Tacoma urban array|2007-07-13T00:00:00|2599-12-31T23:59:59
GS|UNK|47.61|-122.3341|47.0|Seattle urban array|2000-03-01T00:00:00|2599-12-31T23:59:59
GS|UNV|47.661701|-122.297096|9.0|Seattle urban array|2008-06-03T00:00:00|2599-12-31T23:59:59
GS|UPL|47.2145|-122.5461|122.0|Seattle urban array|2007-07-12T00:00:00|2018-07-19T23:59:59
GS|WE2|47.574501|-122.384102|116.0|Seattle urban array|2006-09-20T00:00:00|2599-12-31T23:59:59
IM|I56H1|48.26408|-117.12567|762.8|Newport Infrasound Array, Site I56H1, Washington, USA|2002-10-03T00:00:00|2599-12-31T23:59:59
IM|I56H2|48.27274|-117.1343|761.4|Newport Infrasound Array, Site I56H2, Washington, USA|2002-10-03T00:00:00|2599-12-31T23:59:59
IM|I56H3|48.26888|-117.10939|851.1|Newport Infrasound Array, Site I56H3, Washington, USA|2002-10-03T00:00:00|2599-12-31T23:59:59
IM|I56H4|48.25487|-117.13106|755.4|Newport Infrasound Array, Site I56H4, Washington, USA|2002-10-03T00:00:00|2599-12-31T23:59:59
IU|COR|44.5855|-123.3046|110.0|Corvallis, Oregon, USA|1989-10-26T00:00:00|2599-12-31T23:59:59
LI|LTH|46.4617|-119.417679|157.0|Hanford, WA, USA|2000-11-22T00:00:00|2599-12-31T23:59:59
NP|2105|48.73202|-121.0675|400.0|Ross Dam|1944-01-01T18:00:00|2599-12-31T23:59:59
NP|2108|44.45|-122.5488|310.0|Green Peter Dam|1967-01-10T18:00:00|2599-12-31T23:59:59
NP|2123|47.7038|-117.4781|579.0|VAMC|1972-09-25T18:00:00|2024-03-20T01:00:00
NP|2129|47.56164|-122.30541|97.0|VAMC, Bldg 100|1972-10-04T18:00:00|2599-12-31T23:59:59
NP|2130|47.13556|-122.57578|80.0|American Lake VAMC|1972-10-04T18:00:00|2599-12-31T23:59:59
NP|2133|44.7222|-122.2499|468.0|Detroit Dam|1973-04-18T18:00:00|2599-12-31T23:59:59
NP|2137|44.1277|-122.2449|514.0|Cougar Dam|1973-04-21T18:00:00|2599-12-31T23:59:59
NP|2143|43.7099|-122.4213|469.0|Hills Creek Dam|1973-04-21T18:00:00|2599-12-31T23:59:59
NP|2146|44.1711|-122.3284|405.0|Blue River Dam|1973-04-23T18:00:00|2599-12-31T23:59:59
NP|2151|43.9155|-122.7564|238.0|Lookout Point Dam|1973-04-24T18:00:00|2599-12-31T23:59:59
NP|2158|47.38557|-123.6057|247.0|Wynoochee Dam|1974-02-08T18:00:00|2599-12-31T23:59:59
NP|2161|47.9949|-119.6347|257.0|Chief Joseph Dam|1974-02-06T18:00:00|2599-12-31T23:59:59
NP|2164|47.13941|-121.93202|381.0|Mud Mountain Dam|1974-02-05T18:00:00|2599-12-31T23:59:59
NP|2172|45.51241|-122.68361|44.0|Portland State University|1967-01-17T18:00:00|2599-12-31T23:59:59
